iter	Passed	Remaining
0	5	5461
1	13	6777
2	17	5938
3	22	5607
4	27	5373
5	31	5261
6	36	5240
7	41	5190
8	47	5184
9	52	5149
10	56	5102
11	61	5057
12	67	5115
13	72	5094
14	77	5073
15	82	5057
16	89	5160
17	93	5091
18	97	5057
19	105	5169
20	110	5167
21	116	5171
22	121	5163
23	124	5059
24	126	4949
25	129	4833
26	131	4731
27	133	4638
28	135	4542
29	137	4457
30	139	4373
31	142	4297
32	145	4251
33	147	4185
34	149	4120
35	151	4059
36	153	4002
37	155	3944
38	157	3892
39	159	3838
40	162	3792
41	164	3745
42	166	3702
43	168	3665
44	171	3629
45	173	3594
46	175	3565
47	178	3530
48	180	3496
49	182	3461
50	184	3430
51	186	3402
52	189	3382
53	191	3348
54	193	3327
55	195	3297
56	197	3267
57	199	3236
58	201	3214
59	203	3192
60	205	3168
61	207	3146
62	209	3122
63	212	3100
64	214	3081
65	216	3061
66	218	3049
67	221	3037
68	223	3016
69	225	2995
70	227	2975
71	229	2959
72	231	2944
73	234	2929
74	236	2913
75	238	2894
76	239	2875
77	242	2860
78	244	2846
79	246	2834
80	248	2819
81	250	2805
82	251	2779
83	253	2766
84	256	2755
85	258	2744
86	260	2732
87	263	2728
88	265	2719
89	267	2706
90	269	2695
91	271	2683
92	274	2673
93	276	2665
94	279	2658
95	281	2648
96	283	2637
97	285	2629
98	287	2619
99	290	2611
100	292	2604
101	294	2593
102	296	2583
103	298	2573
104	300	2563
105	302	2554
106	305	2550
107	307	2540
108	309	2530
109	311	2522
110	314	2515
111	316	2507
112	318	2498
113	321	2495
114	323	2488
115	325	2481
116	327	2470
117	329	2463
118	331	2456
119	334	2451
120	336	2444
121	338	2434
122	340	2427
123	342	2420
124	344	2412
125	346	2406
126	349	2399
127	351	2391
128	353	2383
129	355	2376
130	356	2368
131	359	2361
132	361	2353
133	365	2365
134	368	2360
135	370	2354
136	372	2346
137	374	2338
138	376	2331
139	379	2333
140	382	2329
141	383	2319
142	386	2313
143	388	2307
144	390	2301
145	392	2297
146	394	2291
147	397	2286
148	399	2280
149	401	2276
150	403	2270
151	406	2265
152	408	2259
153	410	2254
154	412	2249
155	414	2244
156	417	2239
157	419	2233
158	421	2228
159	423	2223
160	425	2215
161	427	2210
162	429	2203
163	431	2197
164	433	2192
165	435	2187
166	437	2184
167	440	2181
168	442	2176
169	444	2171
170	446	2166
171	448	2160
172	451	2156
173	453	2151
174	455	2146
175	457	2141
176	459	2137
177	461	2132
178	464	2129
179	466	2125
180	469	2122
181	471	2117
182	473	2113
183	475	2108
184	477	2103
185	479	2098
186	481	2094
187	483	2090
188	486	2086
189	488	2081
190	490	2077
191	492	2073
192	495	2071
193	497	2065
194	499	2060
195	501	2056
196	503	2052
197	505	2048
198	507	2043
199	509	2039
200	511	2034
201	513	2030
202	516	2025
203	518	2021
204	520	2017
205	522	2012
206	524	2009
207	526	2005
208	529	2002
209	531	1999
210	533	1994
211	535	1991
212	538	1988
213	540	1984
214	542	1979
215	544	1975
216	546	1970
217	548	1966
218	549	1961
219	552	1957
220	554	1954
221	556	1950
222	558	1946
223	560	1942
224	562	1938
225	564	1934
226	567	1931
227	569	1928
228	571	1924
229	574	1921
230	576	1918
231	578	1914
232	580	1909
233	582	1907
234	584	1903
235	586	1898
236	588	1894
237	590	1890
238	592	1886
239	594	1883
240	597	1882
241	599	1879
242	601	1874
243	603	1871
244	605	1866
245	607	1862
246	610	1860
247	612	1856
248	614	1853
249	616	1849
250	618	1845
251	620	1841
252	622	1837
253	624	1833
254	626	1831
255	628	1827
256	630	1824
257	632	1820
258	634	1816
259	636	1812
260	639	1809
261	641	1806
262	643	1802
263	645	1799
264	647	1795
265	649	1791
266	652	1790
267	655	1791
268	657	1787
269	659	1783
270	661	1779
271	663	1775
272	664	1770
273	667	1767
274	669	1764
275	671	1761
276	673	1758
277	675	1755
278	678	1752
279	680	1749
280	682	1746
281	685	1744
282	687	1741
283	689	1738
284	691	1735
285	693	1731
286	695	1728
287	698	1726
288	700	1723
289	702	1720
290	704	1717
291	706	1713
292	709	1711
293	711	1708
294	713	1705
295	715	1702
296	718	1699
297	720	1697
298	722	1693
299	724	1690
300	726	1687
301	728	1684
302	730	1681
303	732	1678
304	735	1675
305	737	1672
306	739	1669
307	741	1666
308	744	1663
309	746	1661
310	748	1657
311	750	1654
312	752	1651
313	754	1647
314	756	1646
315	759	1643
316	761	1640
317	763	1638
318	765	1635
319	768	1632
320	770	1629
321	772	1627
322	774	1624
323	777	1621
324	779	1618
325	781	1615
326	783	1612
327	785	1609
328	787	1606
329	789	1603
330	792	1600
331	794	1597
332	796	1594
333	798	1592
334	800	1589
335	802	1586
336	804	1583
337	806	1580
338	808	1576
339	811	1574
340	813	1571
341	815	1569
342	818	1567
343	820	1564
344	822	1561
345	824	1558
346	826	1555
347	828	1552
348	831	1550
349	833	1547
350	835	1544
351	837	1541
352	839	1538
353	841	1535
354	843	1532
355	845	1529
356	847	1527
357	850	1524
358	852	1521
359	854	1518
360	855	1514
361	858	1512
362	860	1509
363	862	1506
364	864	1504
365	867	1501
366	869	1499
367	871	1497
368	873	1494
369	875	1491
370	877	1488
371	879	1485
372	882	1482
373	884	1479
374	886	1476
375	888	1474
376	890	1472
377	893	1469
378	895	1467
379	897	1463
380	899	1461
381	902	1459
382	904	1456
383	906	1453
384	908	1450
385	910	1447
386	912	1444
387	914	1442
388	916	1439
389	919	1437
390	921	1434
391	923	1431
392	925	1429
393	927	1426
394	929	1424
395	931	1421
396	933	1418
397	935	1415
398	937	1411
399	938	1408
400	941	1405
401	943	1403
402	945	1400
403	947	1397
404	949	1395
405	951	1392
406	953	1389
407	955	1387
408	958	1384
409	960	1382
410	963	1380
411	965	1377
412	967	1374
413	969	1372
414	971	1369
415	973	1366
416	976	1365
417	978	1362
418	980	1359
419	982	1357
420	984	1354
421	987	1352
422	989	1349
423	991	1347
424	993	1344
425	995	1341
426	997	1338
427	999	1335
428	1001	1332
429	1003	1329
430	1005	1327
431	1008	1325
432	1010	1322
433	1012	1320
434	1014	1317
435	1016	1315
436	1019	1312
437	1021	1311
438	1024	1308
439	1026	1306
440	1028	1303
441	1030	1301
442	1032	1298
443	1034	1295
444	1036	1293
445	1038	1290
446	1040	1287
447	1042	1284
448	1045	1282
449	1047	1279
450	1049	1277
451	1052	1276
452	1054	1273
453	1056	1271
454	1058	1268
455	1060	1265
456	1063	1264
457	1065	1261
458	1067	1258
459	1069	1255
460	1071	1252
461	1073	1250
462	1075	1247
463	1078	1245
464	1080	1243
465	1082	1240
466	1085	1238
467	1087	1235
468	1089	1233
469	1091	1230
470	1093	1228
471	1095	1225
472	1098	1223
473	1100	1220
474	1102	1218
475	1104	1215
476	1106	1213
477	1109	1211
478	1111	1208
479	1113	1206
480	1115	1203
481	1117	1201
482	1119	1198
483	1122	1196
484	1124	1194
485	1126	1191
486	1128	1189
487	1130	1186
488	1133	1184
489	1135	1181
490	1137	1179
491	1139	1177
492	1142	1174
493	1144	1172
494	1146	1169
495	1148	1166
496	1150	1164
497	1153	1162
498	1155	1160
499	1157	1157
500	1159	1155
501	1161	1152
502	1163	1150
503	1166	1147
504	1168	1145
505	1171	1143
506	1173	1141
507	1175	1138
508	1177	1135
509	1179	1133
510	1181	1130
511	1183	1128
512	1185	1125
513	1187	1123
514	1189	1120
515	1192	1118
516	1195	1116
517	1197	1113
518	1199	1111
519	1201	1108
520	1203	1106
521	1205	1104
522	1207	1101
523	1209	1098
524	1211	1096
525	1213	1093
526	1216	1091
527	1218	1089
528	1220	1086
529	1222	1084
530	1224	1081
531	1227	1079
532	1229	1077
533	1231	1074
534	1233	1072
535	1236	1070
536	1238	1067
537	1240	1065
538	1242	1062
539	1244	1060
540	1247	1058
541	1249	1055
542	1251	1053
543	1253	1050
544	1255	1048
545	1257	1045
546	1259	1043
547	1261	1040
548	1264	1038
549	1266	1036
550	1268	1033
551	1270	1031
552	1272	1028
553	1275	1026
554	1277	1024
555	1279	1022
556	1282	1019
557	1284	1017
558	1286	1014
559	1288	1012
560	1290	1010
561	1293	1007
562	1295	1005
563	1297	1002
564	1299	1000
565	1301	997
566	1303	995
567	1305	992
568	1307	990
569	1309	987
570	1311	985
571	1313	983
572	1315	980
573	1317	978
574	1319	975
575	1322	973
576	1324	970
577	1325	967
578	1327	965
579	1329	962
580	1331	960
581	1333	957
582	1336	956
583	1339	953
584	1341	951
585	1343	948
586	1345	946
587	1346	943
588	1348	941
589	1351	939
590	1353	936
591	1356	934
592	1358	932
593	1360	929
594	1362	927
595	1365	925
596	1366	922
597	1369	920
598	1371	917
599	1373	915
600	1375	912
601	1377	910
602	1379	908
603	1381	905
604	1383	903
605	1385	900
606	1386	898
607	1388	895
608	1390	893
609	1393	890
610	1394	888
611	1396	885
612	1398	882
613	1400	880
614	1402	878
615	1405	875
616	1407	873
617	1409	871
618	1411	868
619	1413	866
620	1415	864
621	1417	861
622	1419	859
623	1422	856
624	1424	854
625	1426	852
626	1428	850
627	1430	847
628	1433	845
629	1435	843
630	1437	840
631	1439	838
632	1442	836
633	1444	833
634	1446	831
635	1448	829
636	1450	826
637	1453	824
638	1454	821
639	1457	819
640	1459	817
641	1461	814
642	1463	812
643	1465	810
644	1468	808
645	1470	805
646	1472	803
647	1474	801
648	1476	798
649	1478	796
650	1481	794
651	1483	791
652	1485	789
653	1487	787
654	1489	784
655	1491	782
656	1493	779
657	1496	778
658	1499	775
659	1501	773
660	1502	770
661	1505	768
662	1507	766
663	1510	764
664	1512	761
665	1514	759
666	1516	756
667	1518	754
668	1520	752
669	1522	750
670	1524	747
671	1527	745
672	1529	743
673	1531	740
674	1533	738
675	1535	736
676	1537	733
677	1540	731
678	1542	729
679	1544	726
680	1546	724
681	1549	722
682	1551	719
683	1553	717
684	1555	715
685	1557	712
686	1559	710
687	1561	708
688	1564	706
689	1566	703
690	1569	701
691	1571	699
692	1573	697
693	1575	694
694	1577	692
695	1579	689
696	1581	687
697	1584	685
698	1586	682
699	1588	680
700	1590	678
701	1592	675
702	1594	673
703	1596	671
704	1598	668
705	1600	666
706	1602	664
707	1604	661
708	1607	659
709	1609	657
710	1611	654
711	1613	652
712	1615	650
713	1617	648
714	1619	645
715	1622	643
716	1625	641
717	1627	639
718	1629	636
719	1631	634
720	1633	632
721	1635	629
722	1638	627
723	1641	625
724	1646	624
725	1649	622
726	1653	620
727	1656	618
728	1658	616
729	1661	614
730	1663	612
731	1665	609
732	1668	607
733	1670	605
734	1672	603
735	1674	600
736	1677	598
737	1678	596
738	1680	593
739	1682	591
740	1684	588
741	1686	586
742	1688	584
743	1690	581
744	1692	579
745	1695	577
746	1697	574
747	1699	572
748	1702	570
749	1704	568
750	1706	565
751	1708	563
752	1710	561
753	1712	558
754	1716	556
755	1718	554
756	1720	552
757	1725	550
758	1728	548
759	1731	546
760	1733	544
761	1736	542
762	1738	540
763	1741	537
764	1744	536
765	1747	533
766	1749	531
767	1751	529
768	1754	527
769	1756	524
770	1759	522
771	1762	520
772	1764	518
773	1766	515
774	1768	513
775	1769	510
776	1772	508
777	1774	506
778	1776	503
779	1778	501
780	1780	499
781	1782	496
782	1784	494
783	1789	493
784	1792	490
785	1796	489
786	1798	486
787	1802	484
788	1805	482
789	1807	480
790	1809	478
791	1811	475
792	1813	473
793	1816	471
794	1818	468
795	1820	466
796	1822	464
797	1825	462
798	1827	459
799	1829	457
800	1832	455
801	1839	454
802	1842	452
803	1845	449
804	1849	448
805	1853	446
806	1858	444
807	1861	442
808	1864	440
809	1866	437
810	1869	435
811	1872	433
812	1874	431
813	1876	428
814	1879	426
815	1882	424
816	1885	422
817	1887	419
818	1889	417
819	1891	415
820	1893	412
821	1895	410
822	1899	408
823	1901	406
824	1903	403
825	1905	401
826	1910	399
827	1912	397
828	1914	394
829	1917	392
830	1920	390
831	1923	388
832	1926	386
833	1928	383
834	1930	381
835	1932	379
836	1934	376
837	1941	375
838	1946	373
839	1955	372
840	1957	370
841	1959	367
842	1961	365
843	1963	362
844	1965	360
845	1967	358
846	1970	355
847	1972	353
848	1974	351
849	1976	348
850	1978	346
851	1981	344
852	1984	341
853	1986	339
854	1988	337
855	1990	334
856	1992	332
857	1994	330
858	1996	327
859	1999	325
860	2002	323
861	2004	320
862	2006	318
863	2008	316
864	2010	313
865	2013	311
866	2015	309
867	2017	306
868	2019	304
869	2022	302
870	2024	299
871	2026	297
872	2028	295
873	2030	292
874	2032	290
875	2035	288
876	2037	285
877	2039	283
878	2042	281
879	2045	278
880	2048	276
881	2050	274
882	2053	272
883	2055	269
884	2057	267
885	2059	265
886	2061	262
887	2063	260
888	2065	257
889	2068	255
890	2070	253
891	2072	250
892	2075	248
893	2077	246
894	2079	243
895	2081	241
896	2083	239
897	2085	236
898	2087	234
899	2090	232
900	2092	229
901	2094	227
902	2096	225
903	2098	222
904	2100	220
905	2103	218
906	2105	215
907	2107	213
908	2109	211
909	2111	208
910	2113	206
911	2116	204
912	2118	201
913	2120	199
914	2122	197
915	2124	194
916	2127	192
917	2129	190
918	2131	187
919	2133	185
920	2135	183
921	2137	180
922	2139	178
923	2141	176
924	2144	173
925	2146	171
926	2148	169
927	2150	166
928	2152	164
929	2154	162
930	2156	159
931	2158	157
932	2161	155
933	2163	152
934	2165	150
935	2167	148
936	2169	145
937	2172	143
938	2174	141
939	2177	138
940	2179	136
941	2181	134
942	2183	132
943	2185	129
944	2188	127
945	2190	125
946	2192	122
947	2194	120
948	2197	118
949	2199	115
950	2201	113
951	2204	111
952	2206	108
953	2208	106
954	2210	104
955	2212	101
956	2214	99
957	2217	97
958	2219	94
959	2221	92
960	2223	90
961	2225	87
962	2228	85
963	2230	83
964	2232	80
965	2234	78
966	2236	76
967	2238	74
968	2241	71
969	2243	69
970	2245	67
971	2248	64
972	2250	62
973	2252	60
974	2255	57
975	2257	55
976	2259	53
977	2262	50
978	2264	48
979	2266	46
980	2269	43
981	2271	41
982	2273	39
983	2274	36
984	2277	34
985	2279	32
986	2281	30
987	2283	27
988	2285	25
989	2287	23
990	2289	20
991	2291	18
992	2293	16
993	2295	13
994	2297	11
995	2300	9
996	2302	6
997	2304	4
998	2306	2
999	2308	0
